"x","y","omega_nondim","k_nondim"
 7.500000000E-01, 5.001879856E-02, 1.110822312E-03, 1.242714370E-05
 7.500000000E-01, 5.001942441E-02, 1.044197124E-03, 1.379617788E-05
 7.500000000E-01, 5.002006143E-02, 9.832747746E-04, 1.527705535E-05
 7.500000000E-01, 5.002070591E-02, 9.274517070E-04, 1.687553595E-05
 7.500000000E-01, 5.002135783E-02, 8.762006764E-04, 1.859732401E-05
 7.500000000E-01, 5.002201721E-02, 8.290592232E-04, 2.044800567E-05
 7.500000000E-01, 5.002268776E-02, 7.856203592E-04, 2.243298513E-05
 7.500000000E-01, 5.002336577E-02, 7.455243031E-04, 2.455740469E-05
 7.500000000E-01, 5.002405494E-02, 7.084523677E-04, 2.682606828E-05
 7.500000000E-01, 5.002475157E-02, 6.741208490E-04, 2.924334876E-05
 7.500000000E-01, 5.002545938E-02, 6.422769511E-04, 3.181310603E-05
 7.500000000E-01, 5.002617836E-02, 6.126944209E-04, 3.453859608E-05
 7.500000000E-01, 5.002690852E-02, 5.851702881E-04, 3.742237459E-05
 7.500000000E-01, 5.002764612E-02, 5.595221301E-04, 4.046620961E-05
 7.500000000E-01, 5.002839863E-02, 5.355856265E-04, 4.367102520E-05
 7.500000000E-01, 5.002916232E-02, 5.132125225E-04, 4.703679588E-05
 7.500000000E-01, 5.002993718E-02, 4.922685330E-04, 5.056251757E-05
 7.500000000E-01, 5.003072321E-02, 4.726323823E-04, 5.424616029E-05
 7.500000000E-01, 5.003152043E-02, 4.541939124E-04, 5.808462811E-05
 7.500000000E-01, 5.003233254E-02, 4.368533264E-04, 6.207377010E-05
 7.500000000E-01, 5.003315955E-02, 4.205199366E-04, 6.620839122E-05
 7.500000000E-01, 5.003399774E-02, 4.051114665E-04, 7.048228144E-05
 7.500000000E-01, 5.003485084E-02, 3.905531194E-04, 7.488826668E-05
 7.500000000E-01, 5.003571883E-02, 3.767769667E-04, 7.941831427E-05
 7.500000000E-01, 5.003659800E-02, 3.637213667E-04, 8.406356937E-05
 7.500000000E-01, 5.003749579E-02, 3.513303236E-04, 8.881450776E-05
 7.500000000E-01, 5.003840849E-02, 3.395529347E-04, 9.366103041E-05
 7.500000000E-01, 5.003933236E-02, 3.283431579E-04, 9.859258716E-05
 7.500000000E-01, 5.004027858E-02, 3.176590835E-04, 1.035983078E-04
 7.500000000E-01, 5.004123598E-02, 3.074628476E-04, 1.086671255E-04
 7.500000000E-01, 5.004221201E-02, 2.977200202E-04, 1.137878935E-04
 7.500000000E-01, 5.004320666E-02, 2.883994894E-04, 1.189495306E-04
 7.500000000E-01, 5.004421622E-02, 2.794729953E-04, 1.241410791E-04
 7.500000000E-01, 5.004524812E-02, 2.709149267E-04, 1.293518872E-04
 7.500000000E-01, 5.004629493E-02, 2.627021167E-04, 1.345715864E-04
 7.500000000E-01, 5.004736036E-02, 2.548134653E-04, 1.397902815E-04
 7.500000000E-01, 5.004844442E-02, 2.472298802E-04, 1.449985284E-04
 7.500000000E-01, 5.004955083E-02, 2.399339719E-04, 1.501874212E-04
 7.500000000E-01, 5.005067587E-02, 2.329099516E-04, 1.553486218E-04
 7.500000000E-01, 5.005182326E-02, 2.261433838E-04, 1.604744175E-04
 7.500000000E-01, 5.005298927E-02, 2.196211426E-04, 1.655576780E-04
 7.500000000E-01, 5.005417764E-02, 2.133311646E-04, 1.705919130E-04
 7.500000000E-01, 5.005538836E-02, 2.072624629E-04, 1.755712292E-04
 7.500000000E-01, 5.005662143E-02, 2.014048805E-04, 1.804903732E-04
 7.500000000E-01, 5.005787686E-02, 1.957480854E-04, 1.853455906E-04
 7.500000000E-01, 5.005915835E-02, 1.902798831E-04, 1.901361102E-04
 7.500000000E-01, 5.006046221E-02, 1.849888795E-04, 1.948615536E-04
 7.500000000E-01, 5.006178841E-02, 1.798662997E-04, 1.995187777E-04
 7.500000000E-01, 5.006314442E-02, 1.749044459E-04, 2.041043190E-04
 7.500000000E-01, 5.006452277E-02, 1.700962603E-04, 2.086149470E-04
 7.500000000E-01, 5.006592721E-02, 1.654352818E-04, 2.130477369E-04
 7.500000000E-01, 5.006736144E-02, 1.609155297E-04, 2.174000838E-04
 7.500000000E-01, 5.006882176E-02, 1.565314305E-04, 2.216697467E-04
 7.500000000E-01, 5.007030815E-02, 1.522778475E-04, 2.258547756E-04
 7.500000000E-01, 5.007182434E-02, 1.481499785E-04, 2.299535263E-04
 7.500000000E-01, 5.007337034E-02, 1.441433124E-04, 2.339646599E-04
 7.500000000E-01, 5.007494614E-02, 1.402536727E-04, 2.378871141E-04
 7.500000000E-01, 5.007655174E-02, 1.364770869E-04, 2.417200885E-04
 7.500000000E-01, 5.007818714E-02, 1.328098442E-04, 2.454630157E-04
 7.500000000E-01, 5.007985607E-02, 1.292484085E-04, 2.491156047E-04
 7.500000000E-01, 5.008155853E-02, 1.257894328E-04, 2.526777680E-04
 7.500000000E-01, 5.008329079E-02, 1.224297594E-04, 2.561495348E-04
 7.500000000E-01, 5.008506030E-02, 1.191663541E-04, 2.595312544E-04
 7.500000000E-01, 5.008686334E-02, 1.159963213E-04, 2.628233342E-04
 7.500000000E-01, 5.008869991E-02, 1.129168886E-04, 2.660264436E-04
 7.500000000E-01, 5.009057745E-02, 1.099253932E-04, 2.691412519E-04
 7.500000000E-01, 5.009248853E-02, 1.070192739E-04, 2.721686906E-04
 7.500000000E-01, 5.009443685E-02, 1.041960495E-04, 2.751097200E-04
 7.500000000E-01, 5.009642243E-02, 1.014533336E-04, 2.779654460E-04
 7.500000000E-01, 5.009844899E-02, 9.878880519E-05, 2.807370329E-04
 7.500000000E-01, 5.010051653E-02, 9.620021592E-05, 2.834257321E-04
 7.500000000E-01, 5.010262504E-02, 9.368541214E-05, 2.860328241E-04
 7.500000000E-01, 5.010477081E-02, 9.124226926E-05, 2.885596768E-04
 7.500000000E-01, 5.010696501E-02, 8.886875003E-05, 2.910076873E-04
 7.500000000E-01, 5.010920018E-02, 8.656286082E-05, 2.933783107E-04
 7.500000000E-01, 5.011148006E-02, 8.432266623E-05, 2.956729732E-04
 7.500000000E-01, 5.011380464E-02, 8.214627451E-05, 2.978931589E-04
 7.500000000E-01, 5.011617392E-02, 8.003185940E-05, 3.000403813E-04
 7.500000000E-01, 5.011859536E-02, 7.797763101E-05, 3.021161247E-04
 7.500000000E-01, 5.012106150E-02, 7.598184311E-05, 3.041219024E-04
 7.500000000E-01, 5.012357607E-02, 7.404281496E-05, 3.060591698E-04
 7.500000000E-01, 5.012614280E-02, 7.215888036E-05, 3.079294111E-04
 7.500000000E-01, 5.012876168E-02, 7.032843860E-05, 3.097341396E-04
 7.500000000E-01, 5.013142899E-02, 6.854991807E-05, 3.114747524E-04
 7.500000000E-01, 5.013415590E-02, 6.682180538E-05, 3.131526755E-04
 7.500000000E-01, 5.013693124E-02, 6.514260167E-05, 3.147693351E-04
 7.500000000E-01, 5.013976619E-02, 6.351087359E-05, 3.163260990E-04
 7.500000000E-01, 5.014265701E-02, 6.192520959E-05, 3.178243060E-04
 7.500000000E-01, 5.014560372E-02, 6.038424544E-05, 3.192652366E-04
 7.500000000E-01, 5.014861375E-02, 5.888664236E-05, 3.206502297E-04
 7.500000000E-01, 5.015167966E-02, 5.743111251E-05, 3.219804785E-04
 7.500000000E-01, 5.015481263E-02, 5.601638986E-05, 3.232571762E-04
 7.500000000E-01, 5.015800521E-02, 5.464125570E-05, 3.244815744E-04
 7.500000000E-01, 5.016126111E-02, 5.330451677E-05, 3.256547207E-04
 7.500000000E-01, 5.016458407E-02, 5.200501982E-05, 3.267777502E-04
 7.500000000E-01, 5.016797408E-02, 5.074164073E-05, 3.278517106E-04
 7.500000000E-01, 5.017143115E-02, 4.951328810E-05, 3.288775915E-04
 7.500000000E-01, 5.017495900E-02, 4.831890328E-05, 3.298564407E-04
 7.500000000E-01, 5.017855763E-02, 4.715745308E-05, 3.307891311E-04
 7.500000000E-01, 5.018223077E-02, 4.602794070E-05, 3.316765651E-04
 7.500000000E-01, 5.018597469E-02, 4.492939843E-05, 3.325196158E-04
 7.500000000E-01, 5.018979684E-02, 4.386088403E-05, 3.333191271E-04
 7.500000000E-01, 5.019369721E-02, 4.282148439E-05, 3.340758267E-04
 7.500000000E-01, 5.019767210E-02, 4.181031545E-05, 3.347905003E-04
 7.500000000E-01, 5.020173267E-02, 4.082652231E-05, 3.354638175E-04
 7.500000000E-01, 5.020587146E-02, 3.986926822E-05, 3.360964765E-04
 7.500000000E-01, 5.021009594E-02, 3.893775283E-05, 3.366890887E-04
 7.500000000E-01, 5.021440238E-02, 3.803119034E-05, 3.372422361E-04
 7.500000000E-01, 5.021880195E-02, 3.714882769E-05, 3.377565299E-04
 7.500000000E-01, 5.022328719E-02, 3.628992636E-05, 3.382324358E-04
 7.500000000E-01, 5.022786185E-02, 3.545377695E-05, 3.386704484E-04
 7.500000000E-01, 5.023252964E-02, 3.463969188E-05, 3.390710626E-04
 7.500000000E-01, 5.023729429E-02, 3.384700540E-05, 3.394346568E-04
 7.500000000E-01, 5.024215579E-02, 3.307506267E-05, 3.397616674E-04
 7.500000000E-01, 5.024711415E-02, 3.232324889E-05, 3.400524147E-04
 7.500000000E-01, 5.025217310E-02, 3.159094558E-05, 3.403072478E-04
 7.500000000E-01, 5.025733262E-02, 3.087757432E-05, 3.405264288E-04
 7.500000000E-01, 5.026260018E-02, 3.018255666E-05, 3.407103068E-04
 7.500000000E-01, 5.026797205E-02, 2.950534872E-05, 3.408590273E-04
 7.500000000E-01, 5.027345568E-02, 2.884541209E-05, 3.409728524E-04
 7.500000000E-01, 5.027904734E-02, 2.820223199E-05, 3.410519857E-04
 7.500000000E-01, 5.028475448E-02, 2.757530274E-05, 3.410965146E-04
 7.500000000E-01, 5.029057711E-02, 2.696414231E-05, 3.411066427E-04
 7.500000000E-01, 5.029651895E-02, 2.636827776E-05, 3.410824283E-04
 7.500000000E-01, 5.030258000E-02, 2.578725071E-05, 3.410239588E-04
 7.500000000E-01, 5.030876398E-02, 2.522062277E-05, 3.409312922E-04
 7.500000000E-01, 5.031507462E-02, 2.466796468E-05, 3.408044577E-04
 7.500000000E-01, 5.032151192E-02, 2.412885988E-05, 3.406434262E-04
 7.500000000E-01, 5.032807961E-02, 2.360290637E-05, 3.404482268E-04
 7.500000000E-01, 5.033478141E-02, 2.308971489E-05, 3.402188013E-04
 7.500000000E-01, 5.034162104E-02, 2.258890891E-05, 3.399550624E-04
 7.500000000E-01, 5.034859851E-02, 2.210012281E-05, 3.396569809E-04
 7.500000000E-01, 5.035571754E-02, 2.162300007E-05, 3.393243824E-04
 7.500000000E-01, 5.036298186E-02, 2.115720054E-05, 3.389572084E-04
 7.500000000E-01, 5.037039518E-02, 2.070238770E-05, 3.385552554E-04
 7.500000000E-01, 5.037795752E-02, 2.025823960E-05, 3.381184069E-04
 7.500000000E-01, 5.038567260E-02, 1.982444519E-05, 3.376464883E-04
 7.500000000E-01, 5.039354786E-02, 1.940070069E-05, 3.371392668E-04
 7.500000000E-01, 5.040157959E-02, 1.898671144E-05, 3.365965385E-04
 7.500000000E-01, 5.040977523E-02, 1.858219184E-05, 3.360180999E-04
 7.500000000E-01, 5.041813850E-02, 1.818686724E-05, 3.354037181E-04
 7.500000000E-01, 5.042667314E-02, 1.780047023E-05, 3.347530728E-04
 7.500000000E-01, 5.043537915E-02, 1.742273707E-05, 3.340659896E-04
 7.500000000E-01, 5.044426396E-02, 1.705342038E-05, 3.333421191E-04
 7.500000000E-01, 5.045332760E-02, 1.669227458E-05, 3.325811995E-04
 7.500000000E-01, 5.046257749E-02, 1.633905958E-05, 3.317829105E-04
 7.500000000E-01, 5.047201365E-02, 1.599354982E-05, 3.309469612E-04
 7.500000000E-01, 5.048164353E-02, 1.565551793E-05, 3.300730314E-04
 7.500000000E-01, 5.049146712E-02, 1.532475108E-05, 3.291608009E-04
 7.500000000E-01, 5.050149187E-02, 1.500103735E-05, 3.282099206E-04
 7.500000000E-01, 5.051172152E-02, 1.468417304E-05, 3.272200702E-04
 7.500000000E-01, 5.052215979E-02, 1.437396077E-05, 3.261909005E-04
 7.500000000E-01, 5.053281039E-02, 1.407020864E-05, 3.251220623E-04
 7.500000000E-01, 5.054367334E-02, 1.377273111E-05, 3.240132064E-04
 7.500000000E-01, 5.055476353E-02, 1.348134629E-05, 3.228640126E-04
 7.500000000E-01, 5.056607723E-02, 1.319587955E-05, 3.216740733E-04
 7.500000000E-01, 5.057761818E-02, 1.291616172E-05, 3.204430977E-04
 7.500000000E-01, 5.058939755E-02, 1.264202729E-05, 3.191707365E-04
 7.500000000E-01, 5.060141534E-02, 1.237331617E-05, 3.178566403E-04
 7.500000000E-01, 5.061367899E-02, 1.210987375E-05, 3.165004891E-04
 7.500000000E-01, 5.062619224E-02, 1.185154997E-05, 3.151019628E-04
 7.500000000E-01, 5.063895881E-02, 1.159819840E-05, 3.136607120E-04
 7.500000000E-01, 5.065198615E-02, 1.134967806E-05, 3.121765039E-04
 7.500000000E-01, 5.066527799E-02, 1.110585345E-05, 3.106489894E-04
 7.500000000E-01, 5.067883804E-02, 1.086658995E-05, 3.090779355E-04
 7.500000000E-01, 5.069267750E-02, 1.063176114E-05, 3.074630513E-04
 7.500000000E-01, 5.070680007E-02, 1.040124243E-05, 3.058041329E-04
 7.500000000E-01, 5.072120577E-02, 1.017491468E-05, 3.041009768E-04
 7.500000000E-01, 5.073590949E-02, 9.952660548E-06, 3.023533791E-04
 7.500000000E-01, 5.075091124E-02, 9.734369996E-06, 3.005611652E-04
 7.500000000E-01, 5.076621473E-02, 9.519932973E-06, 2.987242478E-04
 7.500000000E-01, 5.078183487E-02, 9.309247616E-06, 2.968424815E-04
 7.500000000E-01, 5.079777166E-02, 9.102212971E-06, 2.949158370E-04
 7.500000000E-01, 5.081402883E-02, 8.898732631E-06, 2.929442562E-04
 7.500000000E-01, 5.083062127E-02, 8.698713827E-06, 2.909277682E-04
 7.500000000E-01, 5.084755272E-02, 8.502067431E-06, 2.888664603E-04
 7.500000000E-01, 5.086482689E-02, 8.308710676E-06, 2.867603907E-04
 7.500000000E-01, 5.088245124E-02, 8.118559890E-06, 2.846097341E-04
 7.500000000E-01, 5.090043694E-02, 7.931539585E-06, 2.824146941E-04
 7.500000000E-01, 5.091878772E-02, 7.747575182E-06, 2.801755327E-04
 7.500000000E-01, 5.093751475E-02, 7.566596651E-06, 2.778925991E-04
 7.500000000E-01, 5.095662177E-02, 7.388539416E-06, 2.755662426E-04
 7.500000000E-01, 5.097611621E-02, 7.213340268E-06, 2.731969871E-04
 7.500000000E-01, 5.099600926E-02, 7.040941000E-06, 2.707852982E-04
 7.500000000E-01, 5.101630464E-02, 6.871287951E-06, 2.683318162E-04
 7.500000000E-01, 5.103701726E-02, 6.704330190E-06, 2.658372105E-04
 7.500000000E-01, 5.105815083E-02, 6.540021786E-06, 2.633022377E-04
 7.500000000E-01, 5.107971281E-02, 6.378319540E-06, 2.607278002E-04
 7.500000000E-01, 5.110171810E-02, 6.219185252E-06, 2.581148292E-04
 7.500000000E-01, 5.112416670E-02, 6.062584362E-06, 2.554643434E-04
 7.500000000E-01, 5.114707351E-02, 5.908486855E-06, 2.527775068E-04
 7.500000000E-01, 5.117044970E-02, 5.756865903E-06, 2.500556002E-04
 7.500000000E-01, 5.119429901E-02, 5.607699222E-06, 2.472999040E-04
 7.500000000E-01, 5.121863633E-02, 5.460968168E-06, 2.445119317E-04
 7.500000000E-01, 5.124346912E-02, 5.316659099E-06, 2.416932548E-04
 7.500000000E-01, 5.126880854E-02, 5.174761100E-06, 2.388455323E-04
 7.500000000E-01, 5.129466206E-02, 5.035267804E-06, 2.359705977E-04
 7.500000000E-01, 5.132104084E-02, 4.898175575E-06, 2.330703574E-04
 7.500000000E-01, 5.134795979E-02, 4.763486231E-06, 2.301468485E-04
 7.500000000E-01, 5.137542635E-02, 4.631202955E-06, 2.272022102E-04
 7.500000000E-01, 5.140345171E-02, 4.501333478E-06, 2.242387127E-04
 7.500000000E-01, 5.143205076E-02, 4.373887805E-06, 2.212587278E-04
 7.500000000E-01, 5.146122724E-02, 4.248879122E-06, 2.182647149E-04
 7.500000000E-01, 5.149100348E-02, 4.126322438E-06, 2.152592497E-04
 7.500000000E-01, 5.152138323E-02, 4.006235031E-06, 2.122449805E-04
 7.500000000E-01, 5.155238137E-02, 3.888635547E-06, 2.092246723E-04
 7.500000000E-01, 5.158401281E-02, 3.773543540E-06, 2.062011044E-04
 7.500000000E-01, 5.161628872E-02, 3.660979701E-06, 2.031771437E-04
 7.500000000E-01, 5.164922029E-02, 3.550964266E-06, 2.001556859E-04
 7.500000000E-01, 5.168282241E-02, 3.443517699E-06, 1.971396705E-04
 7.500000000E-01, 5.171710998E-02, 3.338658416E-06, 1.941320224E-04
 7.500000000E-01, 5.175209790E-02, 3.236404382E-06, 1.911356521E-04
 7.500000000E-01, 5.178779736E-02, 3.136770601E-06, 1.881534554E-04
 7.500000000E-01, 5.182422325E-02, 3.039770036E-06, 1.851882698E-04
 7.500000000E-01, 5.186139047E-02, 2.945412461E-06, 1.822428312E-04
 7.500000000E-01, 5.189931393E-02, 2.853704018E-06, 1.793198462E-04
 7.500000000E-01, 5.193801224E-02, 2.764646979E-06, 1.764218468E-04
 7.500000000E-01, 5.197750032E-02, 2.678239071E-06, 1.735512633E-04
 7.500000000E-01, 5.201778933E-02, 2.594473926E-06, 1.707103802E-04
 7.500000000E-01, 5.205890164E-02, 2.513340178E-06, 1.679012930E-04
 7.500000000E-01, 5.210085213E-02, 2.434821454E-06, 1.651259372E-04
 7.500000000E-01, 5.214365572E-02, 2.358897063E-06, 1.623860735E-04
 7.500000000E-01, 5.218733102E-02, 2.285540859E-06, 1.596832153E-04
 7.500000000E-01, 5.223189294E-02, 2.214722372E-06, 1.570187014E-04
 7.500000000E-01, 5.227736756E-02, 2.146406814E-06, 1.543936523E-04
 7.500000000E-01, 5.232376605E-02, 2.080554623E-06, 1.518089848E-04
 7.500000000E-01, 5.237111077E-02, 2.017122824E-06, 1.492653828E-04
 7.500000000E-01, 5.241942033E-02, 1.956064807E-06, 1.467633119E-04
 7.500000000E-01, 5.246871337E-02, 1.897330321E-06, 1.443030778E-04
 7.500000000E-01, 5.251901224E-02, 1.840866958E-06, 1.418847241E-04
 7.500000000E-01, 5.257033557E-02, 1.786619578E-06, 1.395081199E-04
 7.500000000E-01, 5.262270197E-02, 1.734530883E-06, 1.371729886E-04
 7.500000000E-01, 5.267613754E-02, 1.684542326E-06, 1.348788064E-04
 7.500000000E-01, 5.273066089E-02, 1.636593993E-06, 1.326249330E-04
 7.500000000E-01, 5.278629437E-02, 1.590625175E-06, 1.304105681E-04
 7.500000000E-01, 5.284306034E-02, 1.546574481E-06, 1.282347366E-04
 7.500000000E-01, 5.290098488E-02, 1.504380634E-06, 1.260963327E-04
 7.500000000E-01, 5.296008661E-02, 1.463982358E-06, 1.239941339E-04
 7.500000000E-01, 5.302039534E-02, 1.425318828E-06, 1.219267942E-04
 7.500000000E-01, 5.308193341E-02, 1.388329679E-06, 1.198928585E-04
 7.500000000E-01, 5.314472318E-02, 1.352955451E-06, 1.178907551E-04
 7.500000000E-01, 5.320879072E-02, 1.319137709E-06, 1.159188250E-04
 7.500000000E-01, 5.327416584E-02, 1.286818815E-06, 1.139753222E-04
 7.500000000E-01, 5.334087461E-02, 1.255942720E-06, 1.120583984E-04
 7.500000000E-01, 5.340893939E-02, 1.226454287E-06, 1.101661474E-04
 7.500000000E-01, 5.347838998E-02, 1.198299969E-06, 1.082965609E-04
 7.500000000E-01, 5.354925618E-02, 1.171427357E-06, 1.064475655E-04
 7.500000000E-01, 5.362156779E-02, 1.145785632E-06, 1.046170219E-04
 7.500000000E-01, 5.369535089E-02, 1.121325226E-06, 1.028027036E-04
 7.500000000E-01, 5.377063900E-02, 1.097997711E-06, 1.010023188E-04
 7.500000000E-01, 5.384745821E-02, 1.075756472E-06, 9.921349556E-05
 7.500000000E-01, 5.392584577E-02, 1.054555582E-06, 9.743379633E-05
 7.500000000E-01, 5.400582775E-02, 1.034350817E-06, 9.566068911E-05
 7.500000000E-01, 5.408744141E-02, 1.015098519E-06, 9.389156912E-05
 7.500000000E-01, 5.417071283E-02, 9.967566257E-07, 9.212373698E-05
 7.500000000E-01, 5.425568670E-02, 9.792834135E-07, 9.035440598E-05
 7.500000000E-01, 5.434238911E-02, 9.626385236E-07, 8.858067304E-05
 7.500000000E-01, 5.443085730E-02, 9.467818813E-07, 8.679954772E-05
 7.500000000E-01, 5.452112854E-02, 9.316739238E-07, 8.500787953E-05
 7.500000000E-01, 5.461324006E-02, 9.172755995E-07, 8.320241614E-05
 7.500000000E-01, 5.470722541E-02, 9.035478570E-07, 8.137973055E-05
 7.500000000E-01, 5.480312556E-02, 8.904515312E-07, 7.953624299E-05
 7.500000000E-01, 5.490098149E-02, 8.779472864E-07, 7.766816270E-05
 7.500000000E-01, 5.500083044E-02, 8.659950481E-07, 7.577151700E-05
 7.500000000E-01, 5.510271341E-02, 8.545537753E-07, 7.384207129E-05
 7.500000000E-01, 5.520667136E-02, 8.435812902E-07, 7.187535812E-05
 7.500000000E-01, 5.531274900E-02, 8.330338233E-07, 6.986662629E-05
 7.500000000E-01, 5.542098731E-02, 8.228656725E-07, 6.781082629E-05
 7.500000000E-01, 5.553143099E-02, 8.130288052E-07, 6.570264668E-05
 7.500000000E-01, 5.564412102E-02, 8.034728580E-07, 6.353651406E-05
 7.500000000E-01, 5.575910956E-02, 7.941447961E-07, 6.130668044E-05
 7.500000000E-01, 5.587644130E-02, 7.849886856E-07, 5.900736141E-05
 7.500000000E-01, 5.599616468E-02, 7.759458640E-07, 5.663294360E-05
 7.500000000E-01, 5.611832440E-02, 7.669545994E-07, 5.417830107E-05
 7.500000000E-01, 5.624297261E-02, 7.579499766E-07, 5.163921378E-05
 7.500000000E-01, 5.637016147E-02, 7.488632150E-07, 4.901296415E-05
 7.500000000E-01, 5.649994314E-02, 7.396217825E-07, 4.629918840E-05
 7.500000000E-01, 5.663236603E-02, 7.302529070E-07, 4.351134703E-05
 7.500000000E-01, 5.676748976E-02, 7.208697639E-07, 4.068029739E-05
 7.500000000E-01, 5.690536276E-02, 7.114622349E-07, 3.783158536E-05
 7.500000000E-01, 5.704604834E-02, 7.019243640E-07, 3.498111255E-05
 7.500000000E-01, 5.718959868E-02, 6.921395652E-07, 3.214499520E-05
 7.500000000E-01, 5.733607337E-02, 6.819958571E-07, 2.934045733E-05
 7.500000000E-01, 5.748553202E-02, 6.714137726E-07, 2.658376980E-05
 7.500000000E-01, 5.763803422E-02, 6.602124358E-07, 2.386231790E-05
 7.500000000E-01, 5.779364333E-02, 6.479222634E-07, 2.112692709E-05
 7.500000000E-01, 5.795242637E-02, 6.339104743E-07, 1.835349212E-05
 7.500000000E-01, 5.811443925E-02, 6.174682881E-07, 1.556119787E-05
 7.500000000E-01, 5.827975646E-02, 5.976038437E-07, 1.278186755E-05
 7.500000000E-01, 5.844844133E-02, 5.728261954E-07, 1.006318598E-05
 7.500000000E-01, 5.862056091E-02, 5.407692925E-07, 7.473836831E-06
 7.500000000E-01, 5.879618600E-02, 4.975566412E-07, 5.110138318E-06
 7.500000000E-01, 5.897539482E-02, 4.370346005E-07, 3.099568630E-06
 7.500000000E-01, 5.915825069E-02, 3.521792564E-07, 1.584777237E-06
 7.500000000E-01, 5.934483185E-02, 2.373822241E-07, 6.439336744E-07
 7.500000000E-01, 5.953521281E-02, 1.315224694E-07, 2.015302556E-07
 7.500000000E-01, 5.972947553E-02, 6.624398452E-08, 4.840198287E-08
 7.500000000E-01, 5.992769450E-02, 4.067617709E-08, 8.781720240E-09
 7.500000000E-01, 6.012995169E-02, 3.453594388E-08, 1.362040036E-09
 7.500000000E-01, 6.033632904E-02, 3.338068666E-08, 2.580696490E-10
 7.500000000E-01, 6.054691225E-02, 3.313253316E-08, 1.135083832E-10
 7.500000000E-01, 6.076178327E-02, 3.285641270E-08, 9.565601783E-11
 7.500000000E-01, 6.098103523E-02, 3.253257219E-08, 9.317973476E-11
 7.500000000E-01, 6.120475009E-02, 3.220860734E-08, 9.245800653E-11
 7.500000000E-01, 6.143302470E-02, 3.189398612E-08, 9.193402289E-11
 7.500000000E-01, 6.166595221E-02, 3.158996975E-08, 9.144121571E-11
 7.500000000E-01, 6.190362200E-02, 3.129661508E-08, 9.096347287E-11
 7.500000000E-01, 6.214613467E-02, 3.101368762E-08, 9.049982291E-11
 7.500000000E-01, 6.239358708E-02, 3.074083921E-08, 9.005056423E-11
 7.500000000E-01, 6.264608353E-02, 3.047762576E-08, 8.961591191E-11
 7.500000000E-01, 6.290372461E-02, 3.022353212E-08, 8.919593536E-11
 7.500000000E-01, 6.316661090E-02, 2.997800763E-08, 8.879055130E-11
 7.500000000E-01, 6.343485415E-02, 2.974046076E-08, 8.839955157E-11
 7.500000000E-01, 6.370855868E-02, 2.951028755E-08, 8.802260310E-11
